real12,pred12,real3,pred3
65.77778,64.54914,63.444443,64.927505
67.625,64.769196,64.875,64.874405
66.75,65.150475,67.75,65.006584
63.88889,64.85797,66.22222,64.565765
66.875,64.9598,66.5,64.62874
68.22222,65.18825,50.875,64.98877
66.25,65.25211,61.444443,65.154976
67.125,65.297615,64.0,65.54823
64.888885,65.13072,67.0,65.06011
58.625,65.42154,65.77778,64.95848
64.666664,65.12083,67.625,64.9549
66.75,65.12129,66.75,65.31647
65.77778,65.12657,63.88889,65.28213
66.375,65.71046,66.875,65.80994
68.75,66.12466,68.22222,66.15353
67.111115,66.12381,66.25,65.89615
67.875,66.3541,67.125,66.16031
66.375,66.77816,64.888885,66.55497
68.55556,66.76251,58.625,66.47534
67.875,66.96321,64.666664,66.67211
67.28571,67.058044,66.75,66.465225
66.0,66.9046,65.77778,66.111084
64.666664,66.987175,66.375,66.0497
66.77778,67.10031,68.75,66.362816
65.5,67.08877,67.111115,66.2744
67.5,67.18333,67.875,66.47148
65.125,67.30267,66.375,66.82974
66.111115,67.31095,68.55556,66.74035
68.625,67.355545,67.875,66.91932
68.44444,67.33385,67.28571,66.991356
67.75,67.49295,66.0,67.35788
68.25,67.56495,64.666664,67.46909
67.125,67.57794,66.77778,67.58701
69.125,67.37944,65.5,67.38316
67.0,67.20595,67.5,67.119125
65.375,67.24657,65.125,67.07484
67.125,66.977325,66.111115,66.716415
67.71429,66.98107,68.625,66.79709
67.375,66.68167,68.44444,66.497894
68.111115,66.55642,67.75,66.43335
65.25,66.59453,68.25,66.66762
67.333336,66.63515,67.125,66.807365
64.25,66.66436,69.125,66.89572
65.77778,66.65368,67.0,67.104195
64.875,66.53097,65.375,67.09725
67.0,66.63355,67.125,67.23631
66.57143,66.524925,67.71429,67.190216
66.0,66.27588,67.375,67.00052
67.5,66.11633,68.111115,66.84618
63.125,65.94888,65.25,66.756615
63.88889,65.78464,67.333336,66.65169
67.125,66.02259,64.25,66.67728
67.625,65.70752,65.77778,66.44813
66.0,65.815475,64.875,66.45149
64.5,65.53225,67.0,66.07281
66.77778,65.37552,66.57143,65.91976
64.25,65.28641,66.0,65.73861
66.125,65.46701,67.5,65.942535
66.0,65.46872,63.125,65.889565
64.875,65.44916,63.88889,65.753944
67.75,65.43612,67.125,65.71282
65.75,65.42588,67.625,65.462616
64.75,65.36023,66.0,65.34341
65.44444,65.62852,64.5,65.49434
66.75,65.692795,66.77778,65.67337
65.875,65.65079,64.25,65.60504
64.625,65.646835,66.125,65.596855
65.55556,65.60109,66.0,65.65518
65.25,65.53892,64.875,65.48866
66.0,65.548996,67.75,65.51826
66.111115,65.59685,65.75,65.39129
65.0,65.63076,64.75,65.449715
64.22222,65.68952,65.44444,65.73585
63.0,65.76117,66.75,65.713036
66.888885,65.810715,65.875,65.70976
65.375,65.81358,64.625,65.66938
67.375,65.85603,65.55556,65.794975
68.0,65.84763,65.25,65.83147
66.111115,65.78604,66.0,65.74617
67.75,65.89061,66.111115,65.799866
66.25,65.940704,65.0,65.84261
67.125,65.97789,64.22222,65.89074
66.44444,65.97381,63.0,65.77734
67.75,65.92169,66.888885,65.6958
65.55556,65.87731,65.375,65.58282
65.0,65.82306,67.375,65.457855
67.14286,65.823845,68.0,65.428375
67.25,65.81637,66.111115,65.37121
65.875,65.90759,67.75,65.64493
66.111115,66.069695,66.25,65.92516
65.333336,66.08802,67.125,65.95823
0.0,66.27765,66.44444,66.229744
0.0,66.29163,67.75,66.27225
0.0,66.39598,65.55556,66.41081
0.0,66.437996,65.0,66.4428
0.0,66.54548,67.14286,66.642296
0.0,66.50147,67.25,66.50746
0.0,66.48836,65.875,66.47529
0.0,66.444725,66.111115,66.47271
0.0,66.51563,65.333336,66.51102
66.25,66.44049,0.0,66.43178
65.5,66.24451,0.0,66.238335
64.666664,66.26264,0.0,66.22017
67.0,66.72064,0.0,66.60723
67.28571,66.73738,0.0,66.57413
66.125,66.81097,0.0,66.557884
65.0,66.84856,0.0,66.436386
66.0,66.83617,0.0,66.44602
64.666664,66.72052,0.0,66.40007
66.75,66.72371,66.25,66.19049
68.111115,66.78087,65.5,65.914825
67.25,66.84354,64.666664,65.69214
66.5,66.94824,67.0,65.7113
63.555557,66.997894,67.28571,65.54726
66.625,66.8669,66.125,65.65582
67.5,66.981705,65.0,66.13775
68.125,67.00695,66.0,66.140915
67.0,66.94413,64.666664,66.15703
66.75,66.70236,66.75,65.9787
65.625,66.70839,68.111115,65.83357
66.71429,66.76732,67.25,65.91924
64.375,66.621,66.5,66.14463
68.44444,66.939896,63.555557,66.51356
68.14286,67.0631,66.625,66.5228
67.375,67.137276,67.5,66.61341
67.57143,67.13632,68.125,66.4816
67.111115,67.29758,67.0,66.518486
67.125,67.2252,66.75,66.685165
67.55556,67.18644,65.625,67.14696
67.625,67.11163,66.71429,62.30424
67.25,67.35887,64.375,67.10387
68.75,67.43282,68.44444,67.04318
68.25,67.69426,68.14286,67.211334
68.111115,67.50805,67.375,66.98292
66.5,67.6184,67.57143,67.38671
67.625,67.68079,67.111115,67.57168
67.0,67.6112,67.125,67.57832
68.125,67.66315,67.55556,67.64283
68.125,67.55094,67.625,67.53388
69.875,67.53014,67.25,67.58176
68.111115,67.522385,68.75,67.66323
68.25,67.56817,68.25,67.76407
69.0,67.573166,68.111115,67.770996
69.666664,67.77333,66.5,68.04215
69.0,67.72702,67.625,68.03924
67.77778,67.76513,67.0,68.11768
67.25,67.64965,68.125,68.00932
68.125,67.68053,68.125,68.05418
69.77778,67.590004,69.875,67.924736
69.75,67.808235,68.111115,68.02652
68.77778,67.79769,68.25,68.12226
67.625,68.04102,69.0,68.389565
69.77778,68.05061,69.666664,68.21018
68.875,68.04606,69.0,68.14357
69.625,68.066025,67.77778,68.21669
69.5,68.09908,67.25,68.34536
68.625,68.196945,68.125,68.38089
69.5,68.32658,69.77778,68.62942
68.888885,68.37714,69.75,68.22026
68.875,68.31535,68.77778,68.44875
69.375,68.383835,67.625,68.49397
68.55556,68.410774,69.77778,68.5646
69.25,68.40811,68.875,68.587105
69.666664,68.31436,69.625,68.46028
68.25,68.36499,69.5,68.586205
68.875,68.27512,68.625,68.58182
69.0,68.37366,69.5,68.702095
69.375,68.38525,68.888885,68.71954
68.125,68.16582,68.875,68.73262
68.75,68.29183,69.375,68.7752
69.375,68.3824,68.55556,68.53073
69.0,68.43287,69.25,68.50972
